job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/shift-leader-at-pilot-flying-j-3796148930,2024-01-19 09:45:09.215838+00,f,f,f,Shift Leader,Pilot Flying J,"Monteagle, TN",2024-01-17,Tennessee,United States,Tanker,Mid senior,Onsite
https://www.linkedin.com/jobs/view/staff-nurse-rn-cardiac-medical-stepdown-at-liberty-hospital-3798818141,2024-01-19 09:45:09.215838+00,f,f,f,Staff Nurse RN [Cardiac Medical Stepdown],Liberty Hospital,"Liberty, MO",2024-01-17,Excelsior Springs,United States,Ventilator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/tax-manager-private-companies-at-pwc-3756655095,2024-01-20 09:03:51.241485+00,t,t,f,Tax Manager - Private Companies,PwC,"Columbus, OH",2024-01-17,Columbus,United States,Supervisor Net Making,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sales-education-advisor-austin-freelance-at-ilia-beauty-3779749177,2024-01-19 09:45:09.215838+00,f,f,f,Sales & Education Advisor - Austin (Freelance),ILIA Beauty,"Austin, TX",2024-01-17,Austin,United States,Vocational Rehabilitation Consultant,Mid senior,Onsite
https://www.linkedin.com/jobs/view/assistant-manager-at-jack-s-family-restaurants-lp-3781241498,2024-01-19 09:45:09.215838+00,f,f,f,Assistant Manager,"Jack's Family Restaurants, LP","Cochran, GA",2024-01-17,Warner Robins,United States,Train Clerk,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sales-event-manager-at-record-at-ropeswing-hospitality-group-3792904283,2024-01-19 21:11:06.068579+00,t,t,f,Sales & Event Manager at Record,Ropeswing Hospitality Group,"Bentonville, AR",2024-01-17,Arkansas,United States,Supervisor Properties,Mid senior,Onsite
https://www.linkedin.com/jobs/view/registered-nurse-rn-surgical-intensive-care-unit-at-bon-secours-mercy-health-at-health-ecareers-3806084214,2024-01-21 06:24:04.794905+00,t,t,f,Registered Nurse (RN) Surgical Intensive Care Unit at Bon Secours Mercy Health,Health eCareers,"Youngstown, OH",2024-01-17,Bessemer,United States,Ventilator,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sleep-expert-sales-at-mattress-firm-3769111453,2024-01-20 15:41:02.703658+00,t,t,f,Sleep Expert - Sales,Mattress Firm,"Smithtown, NY",2024-01-17,Bridgeport,United States,Vocational Rehabilitation Consultant,Mid senior,Onsite
https://www.linkedin.com/jobs/view/collection-manager-with-security-clearance-at-clearancejobs-3753460055,2024-01-21 17:18:07.877661+00,t,t,f,Collection Manager with Security Clearance,ClearanceJobs,"McLean, VA",2024-01-17,Washington,United States,Supervisor Matrix,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/sales-consultant-at-chartwell-retirement-residences-3800988251,2024-01-19 17:35:58.423651+00,t,t,f,Sales Consultant,Chartwell Retirement Residences,"Guelph, Ontario, Canada",2024-01-17,Kitchener,Canada,Ticket Broker,Mid senior,Onsite
